"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"18","chr2L",1115010,1115600,591,"*","ENCFF515LPH_peak_57",36,".",1.64162,5.42733,3.65268,378,"chr2L",1115004,1115683,"ENCFF708WHR_peak_37",49,".",1.92085,6.94309,4.97383,390,591,"3' UTR",1,1112941,1114138,1198,1,"FBgn0031302","FBtr0077955",2069,"33287","CG14340","uncharacterized protein"
"19","chr2L",1158176,1158602,427,"*","ENCFF515LPH_peak_59",34,".",1.53614,5.24578,3.49995,166,"chr2L",1157962,1158760,"ENCFF708WHR_peak_39",89,".",2.18113,11.1767,8.92349,546,427,"Promoter (<=1kb)",1,1151678,1158262,6585,2,"FBgn0261458","FBtr0100022",0,"45233","capt","capulet"
"20","chr2L",1215020,1215353,334,"*","ENCFF515LPH_peak_62",29,".",1.65685,4.64546,2.98242,235,"chr2L",1214984,1215319,"ENCFF708WHR_peak_41",26,".",1.70498,4.38744,2.68748,220,300,"Promoter (<=1kb)",1,1214649,1215293,645,2,"FBgn0266885","FBtr0345742",0,"19835817","lncRNA:CR45346","long non-coding RNA:CR45346"
"21","chr2L",1228027,1228827,801,"*","ENCFF515LPH_peak_64",67,".",2.49568,8.85281,6.77323,276,"chr2L",1227695,1229346,"ENCFF708WHR_peak_42",61,".",2.55435,8.17774,6.11524,478,801,"Exon (FBtr0299796/FBgn0259229, exon 4 of 8)",1,1219293,1229802,10510,1,"FBgn0259229","FBtr0299796",8734,"33312","CG42329","uncharacterized protein"
"22","chr2L",1299448,1299861,414,"*","ENCFF515LPH_peak_68",22,".",1.55201,3.7507,2.24593,60,"chr2L",1299295,1299852,"ENCFF708WHR_peak_43",25,".",1.66443,4.20289,2.5275,475,405,"Distal Intergenic",1,1329161,1329993,833,1,"FBgn0011294","FBtr0077922",-29300,"33317","a5","antennal protein 5"
"23","chr2L",1344812,1345203,392,"*","ENCFF515LPH_peak_70",60,".",1.9825,8.06282,6.03476,144,"chr2L",1344862,1345166,"ENCFF708WHR_peak_44",26,".",1.69938,4.34782,2.65353,98,304,"Promoter (<=1kb)",1,1344461,1345135,675,1,"FBgn0026141","FBtr0077925",351,"33319","Cdlc2","Cytoplasmic dynein light chain 2"
"24","chr2L",1573947,1574761,815,"*","ENCFF515LPH_peak_75",40,".",2.20739,5.88643,4.05934,375,"chr2L",1574014,1574483,"ENCFF708WHR_peak_50",60,".",2.64051,8.15787,6.09674,280,469,"Intron (FBtr0310017/FBgn0261509, intron 2 of 9)",1,1584866,1587155,2290,2,"FBgn0031347","FBtr0077917",12394,"33337","nis","no individualized sperm"
"25","chr2L",2111665,2112116,452,"*","ENCFF515LPH_peak_99",39,".",2.65659,5.71426,3.90562,222,"chr2L",2111599,2111889,"ENCFF708WHR_peak_59",31,".",2.59373,4.90472,3.1351,128,225,"Promoter (1-2kb)",1,2059124,2109878,50755,2,"FBgn0053516","FBtr0334782",-1787,"3346208","dpr3","defective proboscis extension response 3"
"26","chr2L",2213921,2214375,455,"*","ENCFF515LPH_peak_104",43,".",1.71985,6.17751,4.32052,178,"chr2L",2213927,2214483,"ENCFF708WHR_peak_61",50,".",1.9721,7.04904,5.0716,347,448,"Promoter (<=1kb)",1,2212738,2214059,1322,2,"FBgn0010288","FBtr0303459",0,"33397","Uch","Ubiquitin carboxy-terminal hydrolase"
"27","chr2L",2226331,2226662,332,"*","ENCFF515LPH_peak_105",28,".",1.79583,4.51441,2.87686,90,"chr2L",2226086,2226578,"ENCFF708WHR_peak_62",31,".",2.00736,4.96357,3.18747,282,248,"Promoter (<=1kb)",1,2226342,2231099,4758,1,"FBgn0267378","FBtr0100673",0,"33402","sau","sauron"
"28","chr2L",2364943,2365423,481,"*","ENCFF515LPH_peak_112",41,".",1.92538,6.04008,4.19705,140,"chr2L",2364864,2365440,"ENCFF708WHR_peak_64",161,".",3.48022,18.7843,16.156,217,481,"Promoter (<=1kb)",1,2359566,2364954,5389,2,"FBgn0014010","FBtr0077794",0,"33418","Rab5","Rab5"
"29","chr2L",2492568,2493099,532,"*","ENCFF515LPH_peak_115",85,".",2.28443,10.74,8.54412,280,"chr2L",2492501,2492961,"ENCFF708WHR_peak_65",77,".",2.62085,9.90147,7.72194,237,394,"Promoter (<=1kb)",1,2492955,2497357,4403,1,"FBgn0011818","FBtr0077779",0,"33435","oaf","out at first"
"30","chr2L",2569590,2569993,404,"*","ENCFF515LPH_peak_117",222,".",4.04797,25.0252,22.2243,274,"chr2L",2569582,2570130,"ENCFF708WHR_peak_66",280,".",4.8795,31.1484,28.0412,281,404,"Intron (FBtr0077748/FBgn0041337, intron 4 of 5)",1,2564886,2573037,8152,2,"FBgn0041337","FBtr0077748",3044,"33439","Cyp309a2","Cytochrome P450 309a2"
"31","chr2L",2759355,2759915,561,"*","ENCFF515LPH_peak_121",88,".",2.37162,11.0183,8.8086,277,"chr2L",2759613,2760110,"ENCFF708WHR_peak_71",65,".",2.53138,8.63418,6.53575,282,302,"Promoter (<=1kb)",1,2758427,2759677,1251,2,"FBgn0031454","FBtr0100383",0,"3771966","HemK2","HemK methyltransferase 2"
"32","chr2L",2777319,2778185,867,"*","ENCFF515LPH_peak_122",50,".",2.26276,6.97501,5.03806,403,"chr2L",2777256,2778192,"ENCFF708WHR_peak_73",52,".",2.27015,7.25034,5.25729,450,867,"Intron (FBtr0345331/FBgn0004242, intron 11 of 11)",1,2770884,2771776,893,2,"FBgn0031460","FBtr0077730",-5543,"33472","CG15399","uncharacterized protein"
"33","chr2L",2874519,2874845,327,"*","ENCFF515LPH_peak_128",45,".",1.84271,6.41171,4.52564,156,"chr2L",2874430,2874896,"ENCFF708WHR_peak_75",128,".",3.02297,15.355,12.8848,241,327,"Promoter (<=1kb)",1,2868627,2874489,5863,2,"FBgn0051694","FBtr0077685",-30,"33489","Ifrd1","Interferon-related developmental regulator 1"
"34","chr2L",2885248,2886423,1176,"*","ENCFF515LPH_peak_130",83,".",2.41191,10.5766,8.38941,357,"chr2L",2885247,2885759,"ENCFF708WHR_peak_76",57,".",2.40409,7.77857,5.74315,137,512,"Promoter (<=1kb)",1,2880704,2885850,5147,2,"FBgn0024947","FBtr0077680",0,"33495","NTPase","NTPase"
"35","chr2L",2902227,2902840,614,"*","ENCFF515LPH_peak_132",31,".",1.95748,4.78701,3.10358,159,"chr2L",2902024,2902516,"ENCFF708WHR_peak_78",53,".",2.42571,7.36774,5.36116,208,290,"Intron (FBtr0077632/FBgn0041111, intron 2 of 12)",1,2890171,2953077,62907,1,"FBgn0041111","FBtr0290041",12056,"33496","lilli","lilliputian"
"36","chr2L",2956314,2957117,804,"*","ENCFF515LPH_peak_137",44,".",2.03164,6.3608,4.47964,360,"chr2L",2956455,2956745,"ENCFF708WHR_peak_79",36,".",2.09286,5.50489,3.66621,218,290,"Promoter (<=1kb)",1,2956911,2964851,7941,1,"FBgn0010263","FBtr0077637",0,"33498","Rbp9","RNA-binding protein 9"
"37","chr2L",2987714,2988230,517,"*","ENCFF515LPH_peak_140",28,".",1.69438,4.52785,2.88298,242,"chr2L",2987651,2988194,"ENCFF708WHR_peak_80",78,".",2.62505,10.0804,7.89107,273,481,"Promoter (<=1kb)",1,2988116,2990075,1960,1,"FBgn0025109","FBtr0077643",0,"44441","Bem46","Bem46"
"38","chr2L",3039689,3040058,370,"*","ENCFF515LPH_peak_141",28,".",1.72489,4.47135,2.84059,260,"chr2L",3039381,3040142,"ENCFF708WHR_peak_81",35,".",2.05801,5.32059,3.50694,666,370,"Promoter (<=1kb)",1,3039976,3041626,1651,1,"FBgn0031500","FBtr0077654",0,"33521","CG17221","uncharacterized protein"
"39","chr2L",3125758,3126250,493,"*","ENCFF515LPH_peak_143",51,".",2.15644,7.0914,5.14516,228,"chr2L",3125815,3126257,"ENCFF708WHR_peak_82",23,".",1.93633,3.94475,2.30718,152,435,"Exon (FBtr0077662/FBgn0015600, exon 2 of 11)",1,3128635,3129489,855,1,"FBgn0031504","FBtr0077661",-2385,"33527","CG15403","uncharacterized protein"
"40","chr2L",3201886,3202604,719,"*","ENCFF515LPH_peak_147",33,".",2.13853,5.02512,3.30809,502,"chr2L",3201877,3202245,"ENCFF708WHR_peak_83",43,".",2.36745,6.29979,4.38857,232,360,"Promoter (1-2kb)",1,3175190,3200496,25307,2,"FBgn0085422","FBtr0340590",-1390,"33534","CG34393","uncharacterized protein"
"41","chr2L",3208856,3209612,757,"*","ENCFF515LPH_peak_148",92,".",2.85418,11.4728,9.23595,555,"chr2L",3208851,3209606,"ENCFF708WHR_peak_84",108,".",3.1913,13.2241,10.8581,369,751,"Promoter (<=1kb)",1,3210515,3211156,642,1,"FBgn0266875","FBtr0345729",-903,"19835786","lncRNA:CR45336","long non-coding RNA:CR45336"
"42","chr2L",3260254,3260881,628,"*","ENCFF515LPH_peak_149",57,".",2.53687,7.79685,5.79153,379,"chr2L",3260276,3260580,"ENCFF708WHR_peak_85",21,".",2.02634,3.78656,2.17414,230,304,"Promoter (<=1kb)",1,3260973,3261281,309,2,"FBgn0266876","FBtr0345731",400,"19836256","lncRNA:CR45337","long non-coding RNA:CR45337"
"43","chr2L",3466187,3466865,679,"*","ENCFF515LPH_peak_162",48,".",1.92721,6.76199,4.84376,352,"chr2L",3465811,3466756,"ENCFF708WHR_peak_88",51,".",2.24942,7.12702,5.14391,696,570,"Promoter (<=1kb)",1,3466157,3467334,1178,1,"FBgn0021967","FBtr0077521",30,"44228","ND-PDSW","NADH dehydrogenase (ubiquinone) PDSW subunit"
"44","chr2L",4459369,4459785,417,"*","ENCFF515LPH_peak_194",30,".",1.68807,4.74582,3.06863,222,"chr2L",4459380,4459812,"ENCFF708WHR_peak_97",37,".",1.98752,5.54959,3.70677,224,405,"Promoter (<=1kb)",1,4459729,4461746,2018,1,"FBgn0031608","FBtr0345632",0,"33655","CG15435","uncharacterized protein"
"45","chr2L",4606412,4606985,574,"*","ENCFF515LPH_peak_197",29,".",2.01723,4.56593,2.91509,221,"chr2L",4606411,4606837,"ENCFF708WHR_peak_98",22,".",1.87666,3.83503,2.21475,187,426,"Intron (FBtr0305142/FBgn0053196, intron 2 of 46)",1,4477462,4614300,136839,2,"FBgn0053196","FBtr0305142",7315,"318824","dpy","dumpy"
"46","chr2L",4925429,4925820,392,"*","ENCFF515LPH_peak_208",42,".",2.16878,6.11637,4.2655,142,"chr2L",4925184,4925710,"ENCFF708WHR_peak_105",29,".",2.08271,4.67585,2.93254,244,282,"Intron (FBtr0077396/FBgn0041150, intron 1 of 9)",1,4908742,4928393,19652,2,"FBgn0041150","FBtr0077395",2573,"249663","hoe1","hoepel1"
"47","chr2L",4980923,4981704,782,"*","ENCFF515LPH_peak_212",141,".",2.55799,16.6606,14.1858,502,"chr2L",4981181,4981611,"ENCFF708WHR_peak_107",78,".",2.54297,10.0045,7.81979,220,430,"Promoter (<=1kb)",1,4979513,4981587,2075,2,"FBgn0031664","FBtr0331228",0,"33719","CG8892","uncharacterized protein"
"48","chr2L",5059588,5060171,584,"*","ENCFF515LPH_peak_216",37,".",1.86231,5.58115,3.78816,537,"chr2L",5059654,5060274,"ENCFF708WHR_peak_109",75,".",2.60904,9.67775,7.51152,449,517,"Promoter (<=1kb)",1,5058404,5059790,1387,2,"FBgn0028694","FBtr0079027",0,"33738","Rpn11","Regulatory particle non-ATPase 11"
"49","chr2L",5093549,5093995,447,"*","ENCFF515LPH_peak_219",27,".",1.76576,4.32574,2.71849,165,"chr2L",5093239,5093964,"ENCFF708WHR_peak_110",38,".",2.14089,5.65505,3.80197,495,416,"Promoter (<=1kb)",1,5072170,5093592,21423,2,"FBgn0031681","FBtr0079026",0,"326151","Pgant5","Polypeptide N-Acetylgalactosaminyltransferase 5"
"50","chr2L",5165898,5166441,544,"*","ENCFF515LPH_peak_225",92,".",2.67749,11.5134,9.27475,177,"chr2L",5165957,5166442,"ENCFF708WHR_peak_111",48,".",2.22624,6.76525,4.80923,126,484,"Exon (FBtr0303384/FBgn0261836, exon 6 of 6)",1,5151749,5207002,55254,1,"FBgn0261836","FBtr0303387",14149,"3771968","Msp300","Muscle-specific protein 300 kDa"
"51","chr2L",5278495,5278888,394,"*","ENCFF515LPH_peak_226",48,".",2.12934,6.81263,4.89021,124,"chr2L",5278441,5279052,"ENCFF708WHR_peak_113",99,".",3.0486,12.2256,9.91407,221,394,"Promoter (<=1kb)",1,5271728,5278548,6821,2,"FBgn0000228","FBtr0079084",0,"33757","Nin","Ninein"
"52","chr2L",5324888,5325638,751,"*","ENCFF515LPH_peak_228",108,".",2.59679,13.2073,10.8843,310,"chr2L",5324959,5325402,"ENCFF708WHR_peak_114",52,".",2.5351,7.20875,5.21899,307,443,"Promoter (<=1kb)",1,5326504,5326832,329,1,"FBgn0266320","FBtr0344050",-866,"19835997","lncRNA:CR44985","long non-coding RNA:CR44985"
"53","chr2L",5542140,5542615,476,"*","ENCFF515LPH_peak_236",62,".",2.27925,8.24233,6.20173,195,"chr2L",5542187,5542578,"ENCFF708WHR_peak_115",74,".",2.95276,9.6358,7.47149,157,391,"Promoter (<=1kb)",1,5542480,5546642,4163,1,"FBgn0002525","FBtr0346460",0,"33782","Lam","Lamin"
"54","chr2L",5801770,5802332,563,"*","ENCFF515LPH_peak_243",86,".",2.62732,10.8619,8.65974,246,"chr2L",5802049,5802339,"ENCFF708WHR_peak_117",27,".",2.19066,4.49617,2.78177,72,283,"Promoter (<=1kb)",1,5800517,5801975,1459,2,"FBgn0031739","FBtr0079160",0,"33808","CG14005","uncharacterized protein"
"55","chr2L",6047887,6048814,928,"*","ENCFF515LPH_peak_256",51,".",1.84054,7.08205,5.13638,250,"chr2L",6048226,6048629,"ENCFF708WHR_peak_121",43,".",2.1214,6.25944,4.35155,137,403,"Promoter (<=1kb)",1,6046516,6047934,1419,2,"FBgn0029161","FBtr0343130",0,"44132","slmo","slowmo"
"56","chr2L",6098627,6099225,599,"*","ENCFF515LPH_peak_259",52,".",2.06867,7.17519,5.2163,451,"chr2L",6098854,6099435,"ENCFF708WHR_peak_122",57,".",2.44981,7.7643,5.73007,228,371,"Promoter (<=1kb)",1,6096698,6098966,2269,2,"FBgn0031779","FBtr0079211",0,"33862","CG9175","uncharacterized protein"
"57","chr2L",6152943,6153407,465,"*","ENCFF515LPH_peak_261",48,".",2.10615,6.76142,4.84325,339,"chr2L",6152827,6153144,"ENCFF708WHR_peak_123",52,".",2.25325,7.26446,5.27059,227,202,"Promoter (<=1kb)",1,6151969,6153701,1733,1,"FBgn0040950","FBtr0079203",974,"50424","Muc26B","Mucin 26B"
"58","chr2L",6338197,6338747,551,"*","ENCFF515LPH_peak_265",66,".",2.17989,8.73241,6.66021,317,"chr2L",6338373,6338733,"ENCFF708WHR_peak_125",47,".",2.27365,6.68632,4.73672,147,360,"Promoter (<=1kb)",1,6332881,6338426,5546,2,"FBgn0031799","FBtr0079284",0,"33882","Pez","Pez"
"59","chr2L",6431751,6432048,298,"*","ENCFF515LPH_peak_271",69,".",4.66372,9.08193,6.98336,267,"chr2L",6431749,6432047,"ENCFF708WHR_peak_127",67,".",4.56621,8.88722,6.77301,256,297,"Intron (FBtr0345720/FBgn0031813, intron 9 of 9)",1,6424336,6426371,2036,1,"FBgn0263278","FBtr0079257",7415,"33897","Fic","Fic domain-containing protein"
"60","chr2L",6432954,6433561,608,"*","ENCFF515LPH_peak_272",128,".",6.42769,15.3031,12.888,267,"chr2L",6432948,6433634,"ENCFF708WHR_peak_128",162,".",7.26041,18.8631,16.2312,276,608,"Intron (FBtr0345720/FBgn0031813, intron 9 of 9)",1,6424336,6426371,2036,1,"FBgn0263278","FBtr0079257",8618,"33897","Fic","Fic domain-containing protein"
"61","chr2L",6445257,6446598,1342,"*","ENCFF515LPH_peak_273",57,".",2.49759,7.73984,5.73848,796,"chr2L",6445194,6446321,"ENCFF708WHR_peak_129",45,".",2.60565,6.46586,4.53516,1037,1065,"Promoter (1-2kb)",1,6445070,6447862,2793,2,"FBgn0031813","FBtr0114603",1264,"33898","Acox3","Acyl-CoA oxidase 3"
"62","chr2L",6455539,6456261,723,"*","ENCFF515LPH_peak_275",37,".",1.87773,5.54613,3.75738,433,"chr2L",6455732,6456272,"ENCFF708WHR_peak_130",37,".",2.05073,5.56139,3.71735,283,529,"Promoter (<=1kb)",1,6448464,6455929,7466,2,"FBgn0031814","FBtr0339788",0,"33899","retm","real-time"
"63","chr2L",6480505,6480886,382,"*","ENCFF515LPH_peak_276",43,".",1.83274,6.18777,4.32984,260,"chr2L",6480457,6481017,"ENCFF708WHR_peak_131",78,".",2.57104,10.0408,7.85382,307,382,"Promoter (<=1kb)",1,6477182,6480575,3394,2,"FBgn0086357","FBtr0345753",0,"33905","Sec61alpha","Sec61 alpha subunit"
"64","chr2L",6649054,6649462,409,"*","ENCFF515LPH_peak_285",101,".",2.39685,12.3927,10.1104,182,"chr2L",6648970,6649421,"ENCFF708WHR_peak_135",77,".",2.57649,9.92748,7.74698,254,368,"Promoter (<=1kb)",1,6632798,6649114,16317,2,"FBgn0051635","FBtr0331191",0,"33928","CG31635","uncharacterized protein"
"65","chr2L",6723232,6724165,934,"*","ENCFF515LPH_peak_288",28,".",1.71487,4.45748,2.82879,597,"chr2L",6723032,6723519,"ENCFF708WHR_peak_136",52,".",2.29422,7.27414,5.27964,129,288,"Promoter (<=1kb)",1,6719394,6723359,3966,2,"FBgn0025777","FBtr0329892",0,"33944","homer","homer"
"66","chr2L",6723232,6724165,934,"*","ENCFF515LPH_peak_288",28,".",1.71487,4.45748,2.82879,597,"chr2L",6723622,6724019,"ENCFF708WHR_peak_137",23,".",1.85271,4.01381,2.36596,261,397,"Promoter (<=1kb)",1,6719394,6723359,3966,2,"FBgn0025777","FBtr0329892",0,"33944","homer","homer"
"67","chr2L",6852037,6852459,423,"*","ENCFF515LPH_peak_295",33,".",1.86864,5.11836,3.3891,116,"chr2L",6851939,6852445,"ENCFF708WHR_peak_139",73,".",2.55259,9.48409,7.32893,275,409,"Promoter (<=1kb)",1,6852315,6853866,1552,1,"FBgn0017551","FBtr0079342",0,"33959","Rca1","Regulator of cyclin A1"
"68","chr2L",6967794,6968294,501,"*","ENCFF515LPH_peak_302",41,".",1.89982,6.00584,4.16617,372,"chr2L",6967577,6968417,"ENCFF708WHR_peak_143",185,".",3.67309,21.3351,18.5974,396,501,"Promoter (<=1kb)",1,6966780,6967644,865,2,"FBgn0264922","FBtr0079356",-150,"33981","Sumo","Small ubiquitin like modifier"
"69","chr2L",6996672,6996971,300,"*","ENCFF515LPH_peak_305",41,".",2.27365,5.98272,4.14578,257,"chr2L",6996679,6997104,"ENCFF708WHR_peak_145",92,".",3.0583,11.4948,9.22379,257,292,"Intron (FBtr0290119/FBgn0031879, intron 3 of 12)",1,6985961,6986750,790,1,"FBgn0265414","FBtr0339662",10711,"19835512","lncRNA:CR44326","long non-coding RNA:CR44326"
"70","chr2L",7026751,7027698,948,"*","ENCFF515LPH_peak_306",61,".",2.11216,8.1861,6.14953,220,"chr2L",7027039,7027745,"ENCFF708WHR_peak_146",50,".",2.31063,7.00682,5.0326,185,659,"Promoter (<=1kb)",1,7027526,7028959,1434,1,"FBgn0031881","FBtr0079389",0,"33987","MME1","Mitochondrial Magnesium Exporter 1"
"71","chr2L",7445914,7446258,345,"*","ENCFF515LPH_peak_323",27,".",1.98467,4.32779,2.72009,88,"chr2L",7445971,7446455,"ENCFF708WHR_peak_152",41,".",2.23531,6.0262,4.13868,253,287,"Exon (FBtr0079464/FBgn0025697, exon 5 of 5)",1,7443565,7445269,1705,1,"FBgn0031914","FBtr0344858",2349,"34023","CG5973","uncharacterized protein"
"72","chr2L",7728361,7728920,560,"*","ENCFF515LPH_peak_329",47,".",2.51046,6.66761,4.75803,223,"chr2L",7727986,7729105,"ENCFF708WHR_peak_155",40,".",2.39033,5.88495,4.00972,592,560,"Exon (FBtr0079503/FBgn0031939, exon 6 of 11)",1,7723310,7726298,2989,2,"FBgn0031937","FBtr0300709",-2063,"34049","CG13795","uncharacterized protein"
"73","chr2L",7736353,7736928,576,"*","ENCFF515LPH_peak_330",34,".",2.14617,5.1635,3.42826,372,"chr2L",7736355,7736868,"ENCFF708WHR_peak_156",46,".",2.53826,6.64185,4.69584,274,513,"Promoter (1-2kb)",1,7734415,7738809,4395,2,"FBgn0260479","FBtr0079501",1881,"319016","CG31904","uncharacterized protein"
"74","chr2L",7799430,7800224,795,"*","ENCFF515LPH_peak_333",87,".",2.35149,10.9708,8.76346,481,"chr2L",7799764,7800170,"ENCFF708WHR_peak_157",64,".",2.5163,8.54897,6.4562,150,406,"Promoter (<=1kb)",1,7796314,7800058,3745,2,"FBgn0031950","FBtr0343403",0,"34065","Herp","Homocysteine-induced endoplasmic reticulum protein"
"75","chr2L",7885284,7886191,908,"*","ENCFF515LPH_peak_337",41,".",2.025,5.957,4.12253,210,"chr2L",7885530,7886096,"ENCFF708WHR_peak_158",57,".",2.36675,7.82117,5.78255,355,566,"Promoter (<=1kb)",1,7885503,7886109,607,1,"FBgn0083968","FBtr0110879",0,"4379884","CG34132","uncharacterized protein"
